2016-06-06 17:55:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[68]------ 报文返回的证书ID>68759585097 
2016-06-06 17:55:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[71]------ 验证签名证书目录 :>ThinkPHP/Library/Org/Pay/UnionPay/certs/ 
2016-06-06 17:55:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[81]------ 加载验签证书成功 
2016-06-06 17:55:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[50]------ 报文去[signature] key=val&串>accNo=6216***********0018&accessType=0&bizType=000201&certId=68759585097&currencyCode=156&encoding=utf-8&merId=777290058127246&orderId=E1465206927&queryId=201606061755278960658&respCode=00&respMsg=Success!&settleAmt=200000&settleCurrencyCode=156&settleDate=0606&signMethod=01&traceNo=896065&traceTime=0606175527&txnAmt=200000&txnSubType=01&txnTime=20160606175527&txnType=01&version=5.0.0 
2016-06-06 17:55:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[54]------ 摘要shax16>d1139a94f649d9d18a82bbb99d372659fbacf8ea 
2016-06-06 17:55:59, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[56]------ 验签成功 
2016-06-06 17:56:26, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[68]------ 报文返回的证书ID>68759585097 
2016-06-06 17:56:26, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[71]------ 验证签名证书目录 :>ThinkPHP/Library/Org/Pay/UnionPay/certs/ 
2016-06-06 17:56:26, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[81]------ 加载验签证书成功 
2016-06-06 17:56:26, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[50]------ 报文去[signature] key=val&串>accNo=6216***********0018&accessType=0&bizType=000201&certId=68759585097&currencyCode=156&encoding=utf-8&merId=777290058127246&orderId=E1465206927&queryId=201606061755278960658&respCode=00&respMsg=success&settleAmt=200000&settleCurrencyCode=156&settleDate=0606&signMethod=01&traceNo=896065&traceTime=0606175527&txnAmt=200000&txnSubType=01&txnTime=20160606175527&txnType=01&version=5.0.0 
