2016-06-03 16:19:34, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >fJmUAgjTjx5x7ILjwMqF8BifSG9bXtKjMux+9e6UWxHzJh27GXFYJnyzuHaKF/CYVv6FHhlvVuGYxKNABq5rTIP9FjiVimjCPV2OxJQ7xNwgJwMIi53mPTeqJ1FH3d0dsMAI4MpbLqgH9H0/APREQhaY7n6uKKtQyfmDz5QeU78= 
2016-06-03 16:19:34, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-06-03 16:19:34, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[56]------ 前台请求地址为>https://101.231.204.80:5000/gateway/api/frontTransReq.do 
2016-06-03 16:19:34, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[60]------ -------前台交易自动提交表单>--begin---- 
2016-06-03 16:19:34, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[62]------ -------前台交易自动提交表单>--end------- 
2016-06-03 16:19:34, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[63]------ ============处理前台请求 结束=========== 
2016-06-03 16:21:20, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[68]------ 报文返回的证书ID>68759585097 
2016-06-03 16:21:20, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[71]------ 验证签名证书目录 :>ThinkPHP/Library/Org/Pay/UnionPay/certs/ 
2016-06-03 16:21:20, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[81]------ 加载验签证书成功 
2016-06-03 16:21:20, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[50]------ 报文去[signature] key=val&串>accNo=6216***********0018&accessType=0&bizType=000201&certId=68759585097&currencyCode=156&encoding=utf-8&merId=777290058127246&orderId=E1464941973&queryId=201606031619333565458&respCode=00&respMsg=success&settleAmt=1&settleCurrencyCode=156&settleDate=0603&signMethod=01&traceNo=356545&traceTime=0603161933&txnAmt=1&txnSubType=01&txnTime=20160603161933&txnType=01&version=5.0.0 
